Molecule Name	Molecule Structure	Molecule Formula	Precursor charge	Precursor m/z (native)	Precursor m/z (reduced)	Product Name	Product Formula	Product m/z (native)	Product m/z (reduced)	Product Charge
1_2_0_0_0_1_a	(J(N(H(X))))	C27H44O19N2	1	719.2722230000002	721.2878730000001	H(1)	C6H10N0O5	163.06065343150001	163.06065343150001	1
1_2_0_0_0_1_a	(J(N(H(X))))	C27H44O19N2	1	719.2722230000002	721.2878730000001	J(1)	C8H13N1O5	222.097762533	224.113412533	1
1_2_0_0_0_1_a	(J(N(H(X))))	C27H44O19N2	1	719.2722230000002	721.2878730000001	N(1)	C8H13N1O5	204.087202533	204.087202533	1
1_2_0_0_0_1_a	(J(N(H(X))))	C27H44O19N2	1	719.2722230000002	721.2878730000001	X(1)	C5H8N0O4	133.05008874520001	133.05008874520001	1
1_2_0_0_0_1_a	(J(N(H(X))))	C27H44O19N2	1	719.2722230000002	721.2878730000001	H(1)X(1)	C11H18N0O9	295.1029121767	295.1029121767	1
1_2_0_0_0_1_a	(J(N(H(X))))	C27H44O19N2	1	719.2722230000002	721.2878730000001	J(1)N(1)	C16H26N2O10	425.177135066	427.192785066	1
1_2_0_0_0_1_a	(J(N(H(X))))	C27H44O19N2	1	719.2722230000002	721.2878730000001	N(1)H(1)	C14H23N1O10	366.1400259645	366.1400259645	1
1_2_0_0_0_1_a	(J(N(H(X))))	C27H44O19N2	1	719.2722230000002	721.2878730000001	J(1)N(1)H(1)	C22H36N2O15	587.2299584975	589.2456084975	1
1_2_0_0_0_1_a	(J(N(H(X))))	C27H44O19N2	1	719.2722230000002	721.2878730000001	N(1)H(1)X(1)	C19H31N1O14	498.1822847097	498.1822847097	1
2_2_1_0_a	(J(F)(N(H(H))))	C34H56O24N2	1	895.3406980000002	897.3563480000001	F(1)	C6H10N0O4	147.06573880940002	147.06573880940002	1
2_2_1_0_a	(J(F)(N(H(H))))	C34H56O24N2	1	895.3406980000002	897.3563480000001	H(1)	C6H10N0O5	163.06065343150001	163.06065343150001	1
2_2_1_0_a	(J(F)(N(H(H))))	C34H56O24N2	1	895.3406980000002	897.3563480000001	J(1)	C8H13N1O5	222.097762533	224.113412533	1
2_2_1_0_a	(J(F)(N(H(H))))	C34H56O24N2	1	895.3406980000002	897.3563480000001	N(1)	C8H13N1O5	204.087202533	204.087202533	1
2_2_1_0_a	(J(F)(N(H(H))))	C34H56O24N2	1	895.3406980000002	897.3563480000001	H(2)	C12H20N0O10	325.113476863	325.113476863	1
2_2_1_0_a	(J(F)(N(H(H))))	C34H56O24N2	1	895.3406980000002	897.3563480000001	J(1)F(1)	C14H23N1O9	368.1556713424	370.1713213424	1
